step,train_loss,val_loss,lr
200,4.911719083786011,4.766833639144897,9.93316053564413e-05
400,4.523287415504456,4.406641983985901,9.401297566366318e-05
600,4.249842524528503,4.218935024738312,8.392485712604483e-05
800,4.091747760772705,4.106913888454438,7.016045392042452e-05
1000,3.6711872220039368,4.034000957012177,5.4211352710852495e-05
1200,3.7393932342529297,3.9863430976867678,3.780588608918947e-05
1400,3.775091767311096,3.95504629611969,2.2721840920935196e-05
1600,4.006979405879974,3.93917430639267,1.059380755314613e-05
1800,3.556972086429596,3.932356119155884,2.73604658704939e-06
2000,3.785861551761627,3.9314149141311647,6.834904537900144e-11
